"ISP CET/CEST","Area","Reserve Type","Source","Type of Product","Price Type","Price Up (EUR/MWh)","Price Down (EUR/MWh)"
"06/06/2024 12:45:00 - 06/06/2024 13:00:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE"," ","19.96"
"06/06/2024 13:00:00 - 06/06/2024 13:15:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","0.66","22.83"
"06/06/2024 13:15:00 - 06/06/2024 13:30:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","-1.68"," "
"06/06/2024 13:30:00 - 06/06/2024 13:45:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","29.57"," "
"06/06/2024 13:45:00 - 06/06/2024 14:00:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","-2.51","19.40"
"06/06/2024 14:00:00 - 06/06/2024 14:15:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","-78.20","39.74"
"06/06/2024 14:15:00 - 06/06/2024 14:30:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","-78.20","49.81"
"06/06/2024 14:30:00 - 06/06/2024 14:45:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","8.43","66.10"
"06/06/2024 14:45:00 - 06/06/2024 15:00:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","-10.29","54.49"
"06/06/2024 15:00:00 - 06/06/2024 15:15:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","10.83"," "
"06/06/2024 15:15:00 - 06/06/2024 15:30:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","-22.32","19.40"
"06/06/2024 15:30:00 - 06/06/2024 15:45:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","-26.86","19.40"
"06/06/2024 15:45:00 - 06/06/2024 16:00:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","-33.95","19.40"
"06/06/2024 16:00:00 - 06/06/2024 16:15:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","-78.20","15.63"
"06/06/2024 16:15:00 - 06/06/2024 16:30:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE"," ","11.64"
"06/06/2024 16:30:00 - 06/06/2024 16:45:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE"," ","2.56"
"06/06/2024 16:45:00 - 06/06/2024 17:00:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE"," ","-9.25"
"06/06/2024 17:00:00 - 06/06/2024 17:15:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","-14.07","15.75"
"06/06/2024 17:15:00 - 06/06/2024 17:30:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","-32.55","21.88"
"06/06/2024 17:30:00 - 06/06/2024 17:45:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","-41.93","35.75"
"06/06/2024 17:45:00 - 06/06/2024 18:00:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","-39.83","40.00"
"06/06/2024 18:00:00 - 06/06/2024 18:15:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","-78.20","20.53"
"06/06/2024 18:15:00 - 06/06/2024 18:30:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE"," ","36.01"
"06/06/2024 18:30:00 - 06/06/2024 18:45:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","-7.68","38.91"
"06/06/2024 18:45:00 - 06/06/2024 19:00:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","34.97","56.45"
"06/06/2024 19:00:00 - 06/06/2024 19:15:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","13.32","34.76"
"06/06/2024 19:15:00 - 06/06/2024 19:30:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","-3.62","41.64"
"06/06/2024 19:30:00 - 06/06/2024 19:45:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","7.10","73.24"
"06/06/2024 19:45:00 - 06/06/2024 20:00:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","12.63"," "
"06/06/2024 20:00:00 - 06/06/2024 20:15:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","12.64","73.24"
"06/06/2024 20:15:00 - 06/06/2024 20:30:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE"," ","44.49"
"06/06/2024 20:30:00 - 06/06/2024 20:45:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE"," ","39.23"
"06/06/2024 20:45:00 - 06/06/2024 21:00:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE"," ","31.92"
"06/06/2024 21:00:00 - 06/06/2024 21:15:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","37.53","39.26"
"06/06/2024 21:15:00 - 06/06/2024 21:30:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","23.98"," "
"06/06/2024 21:30:00 - 06/06/2024 21:45:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","14.92","46.98"
"06/06/2024 21:45:00 - 06/06/2024 22:00:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE"," ","38.32"
"06/06/2024 22:00:00 - 06/06/2024 22:15:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","16.11","40.90"
"06/06/2024 22:15:00 - 06/06/2024 22:30:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE"," ","23.81"
"06/06/2024 22:30:00 - 06/06/2024 22:45:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","16.11","40.16"
"06/06/2024 22:45:00 - 06/06/2024 23:00:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","16.11","51.66"
"06/06/2024 23:00:00 - 06/06/2024 23:15:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","11.97","73.24"
"06/06/2024 23:15:00 - 06/06/2024 23:30:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","11.97","37.13"
"06/06/2024 23:30:00 - 06/06/2024 23:45:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE","11.97","40.48"
"06/06/2024 23:45:00 - 07/06/2024 00:00:00","LFA|FR","aFRR LS","Not Specified","Standard","AVERAGE"," ","-2.12"
